UniqueID_v2,ni_total,nt_total,nt_ti_stenocold,nt_ti_cold,nt_ti_cool,nt_ti_warm,nt_ti_stenowarm,nt_ti_eury,nt_ti_cowa,nt_ti_na,nt_ti_stenocold_cold,nt_ti_stenocold_cold_cool,nt_ti_cowa_warm_stenowarm,nt_ti_warm_stenowarm,pi_ti_stenocold,pi_ti_cold,pi_ti_cool,pi_ti_warm,pi_ti_stenowarm,pi_ti_eury,pi_ti_cowa,pi_ti_na,pi_ti_stenocold_cold,pi_ti_stenocold_cold_cool,pi_ti_cowa_warm_stenowarm,pi_ti_warm_stenowarm,pt_ti_stenocold,pt_ti_cold,pt_ti_cool,pt_ti_warm,pt_ti_stenowarm,pt_ti_eury,pt_ti_cowa,pt_ti_na,pt_ti_stenocold_cold,pt_ti_stenocold_cold_cool,pt_ti_cowa_warm_stenowarm,pt_ti_warm_stenowarm
SampWA_5829_1,525,53,4,8,25,1,0,12,3,0,12,37,4,1,0.952380952,4.952380952,61.71428571,0.761904762,0,25.9047619,5.714285714,0,5.904761905,67.61904762,6.476190476,0.761904762,7.547169811,15.09433962,47.16981132,1.886792453,0,22.64150943,5.660377358,0,22.64150943,69.81132075,7.547169811,1.886792453
SampWA_5832_1,545,63,0,4,18,16,0,14,8,3,4,22,24,16,0,0.733944954,27.88990826,25.32110092,0,28.80733945,13.21100917,4.036697248,0.733944954,28.62385321,38.53211009,25.32110092,0,6.349206349,28.57142857,25.3968254,0,22.22222222,12.6984127,4.761904762,6.349206349,34.92063492,38.0952381,25.3968254
SampWA_5833_1,566,61,1,9,23,7,0,15,5,1,10,33,12,7,0.530035336,6.007067138,68.3745583,3.533568905,0,19.25795053,2.120141343,0.176678445,6.537102473,74.91166078,5.653710247,3.533568905,1.639344262,14.75409836,37.70491803,11.47540984,0,24.59016393,8.196721311,1.639344262,16.39344262,54.09836066,19.67213115,11.47540984
SampWA_5834_1,537,44,0,1,10,9,2,12,8,2,1,11,19,11,0,1.117318436,17.69087523,6.145251397,3.165735568,62.94227188,7.635009311,1.303538175,1.117318436,18.80819367,16.94599628,9.310986965,0,2.272727273,22.72727273,20.45454545,4.545454545,27.27272727,18.18181818,4.545454545,2.272727273,25,43.18181818,25
SampWA_5836_1,213,20,0,1,8,1,0,4,5,1,1,9,6,1,0,1.877934272,55.39906103,2.816901408,0,22.0657277,12.67605634,5.164319249,1.877934272,57.27699531,15.49295775,2.816901408,0,5,40,5,0,20,25,5,5,45,30,5
SampWA_5838_1,572,45,0,2,6,15,3,13,2,4,2,8,20,18,0,0.34965035,4.020979021,18.35664336,17.83216783,43.00699301,1.923076923,14.51048951,0.34965035,4.370629371,38.11188811,36.18881119,0,4.444444444,13.33333333,33.33333333,6.666666667,28.88888889,4.444444444,8.888888889,4.444444444,17.77777778,44.44444444,40
SampWA_5839_1,576,44,0,0,5,21,6,9,3,0,0,5,30,27,0,0,1.215277778,63.88888889,21.18055556,3.993055556,9.722222222,0,0,1.215277778,94.79166667,85.06944444,0,0,11.36363636,47.72727273,13.63636364,20.45454545,6.818181818,0,0,11.36363636,68.18181818,61.36363636
SampWA_5840_1,547,41,1,0,15,5,0,14,6,0,1,16,11,5,0.182815356,0,19.37842779,8.592321755,0,48.81170018,23.03473492,0,0.182815356,19.56124314,31.62705667,8.592321755,2.43902439,0,36.58536585,12.19512195,0,34.14634146,14.63414634,0,2.43902439,39.02439024,26.82926829,12.19512195
SampWA_5841_1,567,50,0,2,13,18,0,11,6,0,2,15,24,18,0,0.352733686,28.21869489,37.38977072,0,30.15873016,3.880070547,0,0.352733686,28.57142857,41.26984127,37.38977072,0,4,26,36,0,22,12,0,4,30,48,36
SampWA_5842_1,558,42,0,1,4,12,0,12,4,9,1,5,16,12,0,2.508960573,2.688172043,24.55197133,0,58.78136201,3.225806452,8.243727599,2.508960573,5.197132616,27.77777778,24.55197133,0,2.380952381,9.523809524,28.57142857,0,28.57142857,9.523809524,21.42857143,2.380952381,11.9047619,38.0952381,28.57142857
